# 问题|选项1|选项2|选项3|选项4|正确选项序号（ABCD）|解析。构建时固定打乱选项。
## 01 明确任务与建立基线
> 我们做一个小项目：输入一张 28×28 的灰度手写数字图片，判断它属于 0–9 中哪一类。先明确输入、目标与评价方式，再开始写训练循环。
一张图片写着数字 7，本项目中标签最直接的表示是什么？|类别编号 7|图片文件的字节数|预测置信度 0.7|模型训练轮数 7|A|标签是需要预测的真实类别。它不是模型置信度，也不是训练配置。
为什么输出层设为 10 个单元？|为 0–9 十个类别分别输出一个分数|因为每次只能训练 10 张图|因为图片宽度是 10|因为必须训练 10 轮|A|输出维度由分类任务的类别数量决定，与 batch size 和 epoch 无关。
模型给十个类别打分，最终分类通常怎样获得？|沿类别维度取 argmax|对 batch 维度求平均得到图片编号|把最大分数直接当类别编号|取权重文件最大字节|A|argmax 返回最大值的位置，类别维度上的位置就是预测类别编号。
训练前先记录简单基线有什么用？|判断训练后的模型是否优于一个明确的参考方法|保证模型以后永不出错|替代测试数据|让 optimizer 自动选参数|A|基线提供比较参照，如多数类分类器；不能保证泛化能力。
如果模型对所有图片都预测为 0，应该先看什么？|各类别分布、混淆情况与数据/代码是否正常|只看文件是否成功保存|只把训练轮数增大十倍|只统计输出字符串长度|A|恒定预测可能来自类别偏差、标签或训练错误。总准确率不足以解释具体原因。
训练准确率很高能否直接证明识别新图片也很好？|不能，需要独立数据评价泛化|能，训练集就是全部未来数据|能，只要训练 loss 小于 1|不能，因为训练准确率没有任何用途|A|训练表现用于观察拟合，但泛化需要未用于参数学习的数据；训练指标仍有诊断价值。
这个教学项目为什么先用小 MLP 而非大模型？|便于低成本看清完整训练过程|MLP 在任何视觉任务上都最优|大模型不需要训练数据|只有 MLP 才能反向传播|A|小模型减少环境与计算负担。它不是模型效果的普遍最优选择。
若只想先确认代码能运行，哪项比较合理？|先用少量数据跑通，再扩大规模|直接训练一周后才查看日志|先删除验证环节永久不加回来|等购买 GPU 后才能检查 shape|A|小规模冒烟运行能尽早暴露数据、形状、损失与保存问题，不代表最终质量评估。
开始前应明确哪些信息？|输入图片的形状和预处理|输出类别及评价指标|未来每一张图片的正确答案必须提前知道|必须达到某个预先保证的准确率|AB|输入输出契约与评测口径是必要准备；真实未来标签通常未知，性能需要实测。
本题库可以帮助你获得哪些能力？|解释最小训练循环各步骤的作用|读懂常见张量与训练日志|仅凭选对题就证明完成了实际模型训练|保证掌握全部分布式训练技术|AB|流程理解是动手的准备。完成训练仍需要运行代码、检查结果和处理实际问题。
## 02 准备数据与 DataLoader
> 示例把 MNIST 官方训练部分划为训练池和验证集，再从训练池取 10000 张用于教学；验证集 2000 张，官方测试集留到最终评价。ToTensor 将灰度图片转为张量。
为什么验证集不能直接参加训练参数更新？|否则它不再是这次训练的独立验证数据|因为验证集图片不能转成张量|因为验证集只能有一张图|因为验证时不能计算 loss|A|验证集可用于选择配置或 checkpoint，但不应直接用于该模型的梯度更新。
官方测试集什么时候用于本示例的最终评价？|训练和验证选模完成后|每个 batch 都用它更新参数|先看测试标签再选择训练样本|代替训练集参与反向传播|A|示例以验证 loss 选模型，再评价测试集，避免反复用测试结果调参。
训练 DataLoader 设置 shuffle=True 的主要目的是什么？|让各轮样本顺序变化，减弱固定顺序影响|让图片与标签分别随机打乱|自动生成新的真实标签|保证类别数量完全均衡|A|DataLoader 按样本索引取成对数据，图片与标签不会分别打乱；shuffle 不等同于类别平衡采样。
batch_size=32 表示什么？|通常一次参数更新前处理一批最多 32 个样本|模型有 32 层|只允许数据集含 32 张图|最多训练 32 轮|A|此处没有梯度累积，一批做一次更新；最后一批可能少于 32，取决于 drop_last。
10000 张训练图片、batch_size=32、drop_last=False，每轮多少批？|313|312|320|32|A|向上取整 10000/32，前 312 批各 32 张，最后一批 16 张。
本例 ToTensor 对常见 MNIST PIL 灰度图片的作用是什么？|得到 [1,28,28] 浮点张量并把像素缩放到 [0,1]|把每张图变成一个类别编号|自动减去全训练集均值|把灰度图变成十通道|A|此输入路径下 ToTensor 转换维度与像素尺度；它不自动计算数据集标准化统计量。
如果增加需要拟合均值方差的标准化，统计量应从哪里得到？|只从训练数据拟合，再用于验证与测试|把训练验证测试全部合起来拟合|从测试标签计算|每张测试图根据正确类别选一个均值|A|预处理中的可学习统计量也受数据隔离约束，不能泄漏测试信息。
Windows 入门脚本先用 num_workers=0 有什么好处？|避免多进程数据加载的额外排错成本|保证训练一定比多进程快|把模型线程数也强制改为 0|不再需要 Dataset|A|0 表示在主进程加载。性能未必最好，但便于先跑通流程；多进程还需注意主入口保护。
下面哪些做法有助于可复现的数据划分？|显式设置划分用的随机生成器种子|保存划分规则或样本索引|每次随机换测试集却只报告最好结果|仅记录模型名称而不记录数据版本|AB|固定种子和划分记录方便复核。模型名称本身无法确定用了哪些数据。
读取一个 batch 后应该核对哪些内容？|图片与标签数量是否一致|标签取值是否属于 0–9|只检查路径字符串长度|直接相信所有来源都没有错误|AB|先查看真实样本、范围和对应关系，能尽早发现读取、标签和维度错误。
## 03 看清 shape、dtype 与 device
> 训练开始前先打印一批数据。本例常见形状：images=[32,1,28,28]、labels=[32]，标签采用类别索引。方括号里的数字表示各维大小，不是数据内容。
[32,1,28,28] 中最前面的 32 表示什么？|batch 中图片数|颜色通道数|数字类别数|图片每个像素的位数|A|第一维是 batch 维，之后是通道、高、宽。
[32,1,28,28] 中的 1 表示什么？|灰度通道数|只有数字 1|每张图只有一个像素|只有一个参数|A|MNIST 为单通道灰度图，RGB 图片通常有三个通道。
Flatten 保留 batch 维后，图片形状应变成什么？|[32,784]|[1,25088]|[784,32,1]|[32,10]|A|每张图有 1×28×28=784 个像素值。Flatten 本身不把特征变为类别分数。
本例类别索引 labels 的常用 dtype 是什么？|torch.int64，即 long|torch.bool|任意字符串数组|必须与图片一样是 float32|A|CrossEntropyLoss 的类别索引目标需要整型 long；软标签形式是另一种输入契约，本例不使用。
模型输出 logits 形状 [32,10]，labels 形状 [32]，是否合理？|合理，每张图片对应十个分数和一个类别索引|不合理，标签必须是 [32,10] one-hot|不合理，输出只能是 [10]|合理，但每一行必须都相同|A|这是类别索引交叉熵的常用配对形状，不需要手工 one-hot。
最后一批只有 16 张图片，是否可以进入同一个 MLP？|可以，只要不要把 batch 维硬编码为 32|不可以，必须丢弃整个数据集|可以，但类别数也要改为 16|只要把真实标签补成随机 16 个即可|A|线性层作用于最后的特征维，batch 大小可变。硬编码 reshape 容易让最后一批失败。
图片在 CUDA、模型参数在 CPU 时通常会怎样？|计算可能因设备不一致报错，应统一相关张量设备|PyTorch 永远自动正确搬运全部对象|只会改变标签含义|只需更改变量名为 gpu|A|需要将模型和输入放到兼容设备上，损失所需标签也应在相应设备。本示例默认全在 CPU。
为什么不能看到 shape 正确就认定数据完全正确？|还可能存在像素范围、标签对应或预处理错误|因为 shape 没有任何用|因为所有 float32 数据必然正确|因为设备类型会自动检查业务含义|A|shape 是结构契约，内容语义也需要检查，如图像是否颠倒、标签是否错配。
首次取 batch 建议打印哪些信息？|shape、dtype、device|像素范围及少量标签|只打印 optimizer 名字|只打印机器壁纸分辨率|AB|结构、设备和范围能共同定位输入问题；也值得可视化少量图片与标签。
