# 每行：术语|定义|辨认情境|正确理解|常见误解（错误陈述）|简单例子
## 数学基础
标量|用单个数值表示的量|一条记录只用一个数表示当天温度|标量本身没有向量那样的多个分量|标量必须是整数，不能有小数|温度 23.5 可以作为一个标量。
向量|按顺序排列的一组数值|用身高、体重和年龄三个数一起描述一个人|分量的顺序和含义需要保持一致|调换向量分量的位置不会影响任何含义|[170,60,20] 的三项分别对应三种特征。
矩阵|按行和列排列的二维数表|把三名学生的两门成绩排成三行两列|矩阵的形状同时包含行数和列数|三行两列和两行三列是同一种形状|3×2 的成绩表可以表示三名学生、两门课程。
转置|交换矩阵的行与列的操作|把原来每一行的数据改为对应的一列|转置后 m×n 矩阵变为 n×m|转置等于把每个元素变成倒数|[[1,2,3]] 转置后是三行一列。
点积|两个等长向量对应分量乘积之和|把两组对应位置相乘，再把结果相加|点积的结果是一个标量|点积的结果必须是与输入等长的向量|[1,2] 与 [3,4] 的点积是 1×3+2×4=11。
矩阵乘法|由左矩阵的行与右矩阵的列做点积形成结果|用 m×n 的数据表乘 n×p 的权重表，得到 m×p 结果|左矩阵列数必须等于右矩阵行数|矩阵乘法通常等于同位置元素直接相乘|2×3 与 3×4 可以相乘，结果形状为 2×4。
L2 范数|向量各分量平方和的平方根|用一个数描述向量从原点出发的欧氏长度|L2 范数非负，零向量的 L2 范数为零|L2 范数就是把各分量直接相加|[3,4] 的 L2 范数为 5。
余弦相似度|非零向量点积除以两者 L2 范数的乘积|比较两个向量的方向接近程度而弱化长度影响|零向量不能直接代入通常的余弦相似度公式|只要向量长度相等，余弦相似度就一定为 1|[1,0] 与 [2,0] 的余弦相似度为 1。
导数|一元函数在某点的局部变化率|观察输入只增加很小一点时，输出在该点变化多快|导数描述局部变化，不等于整个区间的平均变化|导数永远等于函数在该点的输出值|f(x)=x² 在 x=3 处的导数为 6，而函数值为 9。
梯度|多元标量函数对各变量的偏导数组成的向量|分别计算损失对多个参数的变化率，再把它们排在一起|非零梯度指向局部最速上升方向，下降常用反方向|沿正梯度走一定是在减小损失|损失对两个参数的偏导为 2 和 -1，梯度就是 [2,-1]。
## 概率与统计
样本空间|随机试验所有可能结果组成的集合|列出一次掷标准六面骰子全部可能点数|事件是样本空间中的一个子集|样本空间只包含最可能出现的结果|掷骰子的样本空间是 {1,2,3,4,5,6}。
条件概率|已知一个事件发生时另一个事件发生的概率|只在下雨的日子里统计交通拥堵的比例|P(A给定B) 与 P(B给定A) 一般不同|把条件前后交换，概率一定不变|下雨时堵车的概率不等于堵车时下雨的概率。
独立性|一个事件的发生不改变另一个事件发生概率的性质|理想条件下第一次抛硬币的结果不改变第二次的正面概率|独立事件可以同时发生|两个事件独立就意味着它们不能同时发生|两次独立抛币可以同时出现正面。
贝叶斯公式|利用似然和先验概率计算后验概率的关系式|结合某病原本的比例与检测表现，判断阳性者患病概率|后验判断需要考虑先验或基准发生率|检测灵敏度就是阳性者患病的概率|少见疾病即使检出率高，阳性结果也要结合假阳性率分析。
期望|随机变量各取值按概率加权得到的平均水平|把不同收益分别乘出现概率，再把它们相加|期望不一定是一次试验可能出现的取值|期望值必须能在单次试验中实际出现|公平骰子点数期望是 3.5，但不会掷出 3.5 点。
方差|随机变量与其期望之差的平方的期望|比较平均成绩相同的两组学生，哪组成绩更分散|方差衡量波动，单位是原变量单位的平方|平均数相同的两组数据方差一定相同|[5,5] 与 [0,10] 均值相同，后一组方差更大。
标准差|方差的非负平方根|把平方单位的波动指标还原到与原数据相同的单位|标准差非负，与原变量具有相同单位|标准差就是方差的平方|若身高方差是 9 平方厘米，标准差是 3 厘米。
正态分布|由均值与方差决定的对称钟形连续概率分布|用对称钟形曲线近似描述某类测量误差|并不是所有真实数据都服从正态分布|任何数据标准化后都会变成正态分布|标准化偏斜收入数据，通常仍保留其偏斜形状。
随机抽样|依据随机机制从总体选取样本的方法|用随机数从全体学生名单中抽人调查|随机抽样不能保证一次样本与总体完全一致|只要随机抽样，一次得到的样本均值就必定等于总体均值|抽到的 30 人平均身高可能与全校均值有差异。
相关性|两个变量在统计上共同变化的关联|发现冰淇淋销量高时溺水事件也常增多|相关性本身不能证明因果关系|两个变量相关就证明其中一个导致另一个|天气炎热可能同时影响冰淇淋销量与下水人数。
## 数据与预处理
样本|数据集中一个被观察或处理的实例|房价表中每一行对应一套房屋|一个样本可以包含多个特征|一个样本只能有一个特征|一套房屋可以同时记录面积、楼层和房龄。
特征|用于描述样本并供模型利用的输入属性|用面积和房龄预测房价，面积和房龄作为输入|特征应该在实际预测时能够获得|预测时拿不到的信息也可以随意当成输入特征|预测未来收入时，不能把未来实际收入作为输入。
标签|监督学习中希望模型预测的目标答案|训练猫狗分类器时，为图片标明猫或狗|标签可能有噪声，需要质量检查|人工写出的标签绝不可能出错|一张狗的图片被误标为猫，会产生标签噪声。
缺失值填补|用选定规则替代数据中缺失项的处理|用训练集中年龄的中位数填入空缺年龄|填补规则应只用训练数据拟合，再应用到验证或测试数据|应先用全部数据计算填补值，再划分训练和测试集|训练年龄为 20、30、40 时，中位数填补值为 30。
最小最大缩放|按给定最小值与最大值把特征线性映射到目标区间|将训练集中 10 到 20 的非恒定数值映射到 0 到 1|测试值超出训练范围时，缩放结果也可能超出目标区间|不做额外裁剪时，任何新数据也一定落在 0 到 1|按训练范围 [10,20] 缩放，新值 25 会得到 1.5。
标准化|用均值和标准差对非恒定特征进行中心化与缩放|对特征先减去训练均值，再除以训练标准差|标准化不保证数据变成正态分布|标准化的定义就是把所有值压到 0 到 1|均值 10、标准差 2 时，数值 14 标准化后为 2。
独热编码|把离散类别编码为对应位置为一的指示向量|将红、绿、蓝三个无序类别表示为三个指示位置|独热编码本身不表示类别之间有大小顺序|独热编码中蓝色天然大于红色|红色可以是 [1,0,0]，绿色是 [0,1,0]。
数据集划分|按用途把数据分成训练、验证和测试等集合|一部分数据用于学参数，一部分用于调参，最后留一部分评估|测试集不应反复用于挑选模型|反复用测试成绩调参仍能保证它是独立最终评估|先用训练和验证集选方案，再用保留测试集评估。
分层抽样|按类别等分层后在各层抽取样本的方法|划分分类数据时尽量保持各集合中正负类的比例|分层有助于保持比例，但不能解决所有数据偏差|保持类别比例就能自动消除数据泄漏|正例占 10% 时，分层划分可让各集合保持接近该比例。
数据泄漏|训练或选模不当地利用了实际预测时不可得的信息|用全量数据的统计量预处理后，才划分测试集|泄漏可能让离线评估显得过于乐观|只要没有直接复制标签就绝不会泄漏|先在全量样本上选特征，可能把测试集信息带入训练。
## 机器学习概念
监督学习|利用带目标标签的样本学习输入到目标映射的方法|给模型大量已标注是否垃圾邮件的样本来训练|分类与回归都可以属于监督学习|监督学习只能做分类，不能预测数值|用带真实成交价的房屋数据学习预测价格也属于监督学习。
无监督学习|在没有指定目标标签的情况下探索数据结构的方法|没有客户分组标签，希望从行为数据中发现群组|无监督不等于完全没有人为选择或假设|无监督学习不需要选择任何算法或参数|做聚类仍可能需要选择距离度量和簇数。
分类|预测离散类别的任务|判断一封邮件属于正常邮件还是垃圾邮件|类别编号是标识，不一定代表可计算的大小关系|用数字编码类别后，分类就自动变成回归|类别 0、1、2 可以分别表示猫、狗、鸟。
回归|预测连续数值目标的任务|根据房屋特征预测一个价格数值|名称中带回归的算法也可能用于分类任务|逻辑回归通常用于预测连续房价，因此一定属于回归任务|线性回归可预测价格，逻辑回归通常用于分类。
聚类|根据相似性把样本组织为若干群组的方法|没有现成客户类型标签，按购买习惯把客户分组|聚类得到的组需要结合业务解释|聚类结果天然就是唯一正确的业务类别|算法分出的高频客户群还需结合消费行为解释。
泛化|模型在训练数据之外的相关新数据上保持有效表现的能力|模型在没见过的同类照片上也能较好识别|训练集成绩好不等于泛化一定好|只要训练集全对就能保证所有新数据全对|记住练习题答案不等于会做新题。
过拟合|模型过度贴合训练数据细节而在新数据上表现较差的现象|训练准确率很高，但独立验证表现明显较差|过拟合判断应结合训练与验证表现|训练准确率越高，就越不可能过拟合|记住少量训练图片的背景，可能无法识别新背景中的目标。
欠拟合|模型未能充分学习任务规律的现象|训练和验证表现都较差，且模型表达能力明显不足|训练不足或模型过简单都可能导致欠拟合|欠拟合一定能靠增加正则化强度解决|用过于简单的直线描述明显弯曲的关系可能欠拟合。
正则化|通过约束或偏好限制模型学习复杂度的机制|给大权重增加惩罚，减少模型对细节的过度适应|正则化过强也可能导致欠拟合|正则化越强，任何模型的效果都越好|L2 惩罚可以约束权重，但过大会限制模型学习。
超参数|通常由训练流程外部设定的配置值|开始训练前选择学习率、批大小或树的最大深度|超参数不同于通过训练直接学习到的模型权重|所有超参数都由反向传播自动学出，无需配置|学习率设为 0.001 属于超参数选择。
## 神经网络与训练
模型参数|训练过程中学习得到并参与预测的数值|训练线性层时不断调整权重与偏置|参数更新会改变模型的输入输出映射|模型参数就是数据集中样本的数量|y=wx+b 中的 w 和 b 可以是待学习参数。
前向传播|按模型计算图从输入计算预测及相关输出的过程|把一批图片依次送入各层，得到分类分数|前向传播本身不等于完成了参数更新|只要做一次前向传播，参数就必定改变|输入 x 后计算模型预测值，是一次前向计算。
损失函数|衡量模型输出与训练目标差异的函数|将预测结果与目标比较，得到用于优化的误差数值|训练通常尝试减小损失，但不保证每一步都下降|损失与准确率在任何任务中都是同一个指标|均方误差可惩罚数值预测与真实值的偏差。
反向传播|利用链式法则在计算图上计算梯度的方法|从损失开始，计算各层参数对损失的影响|反向传播负责算梯度，优化器负责依据规则更新参数|反向传播与优化器更新是完全相同的一步|先 backward 得到梯度，再由优化器执行更新。
