# 原创企业智能决策学习题；字段：概念|定义|场景题|正确行动|错误行动1|错误行动2|错误行动3|解析|参考键
## RAG / GraphRAG 检索链路
BM25|利用词项匹配、词频、逆文档频率和长度因素进行相关性排序的方法|用户搜索精确故障码 E104，语义检索常返回其他故障，首先值得加入什么？|加入 BM25 精确词项检索，并在验证集比较召回|只增大生成温度|删除所有故障码以减少词表|直接假定所有故障码语义相同|故障码有很强的精确匹配需求。BM25 与语义检索可互补，但最终收益需要用查询集验证。|ranking
Embedding 与向量检索|把查询和文本映射为向量，按表示空间中的相似性寻找候选内容|用户问“如何退订”，文档使用“取消订阅”，纯词项匹配漏掉了它，哪项改进最贴切？|评估适合业务语言的 embedding，并增加向量召回|把两个词作为两个永不关联的客户 ID|仅更换答案输出字体|把所有文档都赋予同一向量|向量表示有助于跨措辞匹配，但相似不等于证据正确；需关注领域、语言、切块及模型匹配。|ranking
Hybrid search 与 RRF|合并词项检索和向量检索等候选排序，RRF 按名次而非原始分数融合|BM25 分数约为 20，向量余弦分数约为 0.8，要融合两路排序，哪项合理？|可用 RRF 融合名次，并通过验证集确定配置|未经处理直接把分数相加并认定公平|只保留数值尺度更大的那一路|把融合后的 RRF 分数解释成正确概率|不同检索器的分数尺度通常不同。RRF 依靠排名融合；融合得分也不是校准后的正确率。|rrf
Chunking 与 metadata filtering|切块保留可检索的上下文单位，元数据过滤按租户、时间或文档属性限制候选|跨租户工单 RAG 中，某条证据来自无权访问的客户，应该怎样修正？|在检索链路执行权限过滤，并检查分块的租户和来源元数据|先把全部客户工单发给模型，再要求它保密|只增加切块重叠率作为权限控制|仅在最终答案上删除客户名|分块不能丢失权限与出处。过滤应发生在证据进入模型前，并在服务端按身份执行。|retrieval
Query rewriting|在保留用户意图和限制的前提下，把查询改写为更适合检索的形式|用户问“它上周为什么故障”，前文明确“它”指产品 P3，哪项改写合适？|补全 P3 和上周的实际日期范围后检索，并保留原查询供核对|凭常识把 P3 换成销量最高的 P1|删除“上周”以让检索更宽泛并当作最终答案依据|直接改写成“P3 已修复”作为已知事实|改写用于消歧与补全，不应引入结论。时间、实体和否定条件应被保留，可与原查询并行检索。|retrieval
Reranker|对已经召回的候选再评估查询与内容的相关性并重新排序|相关工单在初始前 50 条里，但不在最终给模型的前 5 条中，优先验证哪一环？|检查重排质量和截断位置，比较相关证据能否进入前 5|只扩大模型输出字数|认为 reranker 能找回完全未召回的文档|删除所有排序日志避免干扰|证据已召回但被排到上下文之外，是排序或截断的重要线索。重排只处理传入候选，不能凭空恢复候选外文档。|reranking
Recall@k 与 hit rate|Recall@k 衡量相关项覆盖比例，hit rate 衡量查询是否至少命中一项相关内容|某查询有 4 篇已标注相关文档，前 5 条检索结果含其中 2 篇，按文档口径应怎样计算？|Recall@5 为 0.5，这个查询的 hit@5 为 1|Recall@5 为 0.4，hit@5 为 0.4|Recall@5 为 1，hit@5 为 0.5|两者都等于排序第一条的得分|Recall 的分母是全部相关项，2/4=0.5；hit 只检查是否至少一次命中。多查询 hit rate 再对这些命中指示取平均。|ir
MRR 与 NDCG|MRR 关注首个相关结果的位置，NDCG 依据相关等级和排名折损评价排序|两个查询首个相关结果分别排第 1 和第 4，MRR 是多少？|0.625，即 (1+1/4)/2|2.5，即 (1+4)/2|0.25，只取最后一个查询|1，因为都检索到了相关文档|MRR 平均的是首个相关位置的倒数。NDCG 则可利用多条结果及分级相关性；实现前要确定标签、截断 k 和无相关查询处理规则。|ir
GraphRAG 与结构化证据|利用实体关系等图结构组织证据；Microsoft GraphRAG 还使用社区报告支持全局问题|问题是“多类客户投诉总体有哪些共同主题”，采用 Microsoft GraphRAG 时哪项路线更匹配？|评估基于社区报告的 global search，并回查原始证据|认定 GraphRAG 只是把 embedding 维度调大|认为每个普通 RAG 都必须先做社区发现|因为图里有边就认定存在因果关系|Microsoft GraphRAG 的全局检索面向整体主题，局部检索可利用实体邻域。广义 GraphRAG 并非都要求社区摘要，抽取的关系也可能有误。|graph
RAG 错误定位|沿召回、排序、证据组织、生成及评价标准逐层检查答案错误的来源|正确证据已在实际模型输入中且明确写着“未续费”，模型却回答“已续费”，下一步最合理是什么？|核查输入截断与证据表述后，重点检查生成是否违背证据|不看 trace 就把问题全部归因于 embedding|仅重新计算索引大小|因为引用了文档就认定答案正确|已知证据是否进入实际输入是定位边界。还要核对题目时间与评分口径；引用存在不等于支持结论。|retrieval
## 企业数据、本体与知识图谱
JOIN 与数据粒度|连接按键组合表行，连接前后的粒度决定聚合是否重复计算|每笔订单有多条工单，订单表 join 工单后销售额翻倍，优先怎么处理？|核对一对多关系，先在正确粒度聚合或使用半连接筛选|直接除以 2 并用于所有月份|把 SUM 改名为 revenue 就能修正|删除金额最高的订单抵消重复|一对多连接会复制订单金额。应明确指标粒度，按业务问题预聚合或使用 EXISTS；不能用偶然倍数补救。|sql
